
From 1/1/2014 - 01/03/2015 <-- no one knows exact time it was released, some say in 2013, set it 2014 to be sure

SELECT nick, fingerprint, identity, ip, count(identity) FROM agorahooawayyfoe GROUP BY nick ORDER BY count(identity) DESC;



+---------------------+------------------------------------------+-----------------------------+-----------------+-----------------+
| nick                | fingerprint                              | identity                    | ip              | count(identity) |
| DevlinDnsdMe        | 4a9e1aa347eed4c7f4cbeb28fd84ddb2be91498c | Sp4ao0fu1Mf0y+so/YTdsr6RSYw | 109.100.102.134 |              48 |
| snakeoil            | e8bb8d81cab6d3a762844cbd182e7477bcf4908f | 6LuNgcq206dihEy9GC50d7z0kI8 | 193.10.5.73     |              48 |
| ez1fSNVBj1tN        | 5d6875537fa926d706b95443c21cd4845207af4c | XWh1U3+pJtcGuVRDwhzUhFIHr0w | 50.7.159.74     |              48 |
| SlowpokeWell        | 60d48f04f1ee0e22966df0daa8234329f5bf74af | YNSPBPHuDiKWbfDaqCNDKfW/dK8 | 88.198.18.111   |              48 |
| badreligion         | dacf4776fa9df246f224096ba3d3d65c359541e1 | 2s9Hdvqd8kbyJAlro9PWXDWVQeE | 192.95.26.58    |              48 |
| JustaguyLON2        | ccd6048ca1a94c93cf11c98f9d23611a49004ecf | zNYEjKGpTJPPEcmPnSNhGkkATs8 | 178.62.62.160   |              48 |
| accidental          | 209f4cde37b8010351e86ec5afa9c55d43ea4dcf | IJ9M3je4AQNR6G7Fr6nFXUPqTc8 | 188.127.25.89   |              48 |
| EagleMK3            | e341f7e0022bf89026fe8b6b3c482cd879ed6234 | 40H34AIr+JAm/otrPEgs2HntYjQ | 91.222.218.133  |              48 |
| SwedishNSA          | c77f18adda9cce42a298b686ac1cb02e20d3c0d6 | x38YrdqczkKimLaGrBywLiDTwNY | 78.72.145.47    |              48 |
| turtles             | f397038adc51336135e7b80bd99ca3844360292b | 85cDitxRM2E157gL2ZyjhENgKSs | 76.73.17.194    |              48 |
| 2bridge4far         | cf0d007557dc13b396448091790ee21fff5831f8 | zw0AdVfcE7OWRICReQ7iH/9YMfg | 69.143.43.48    |              48 |
| WarIsPeace          | 6b411e062386beebe83e4dfd7066e2f2a1e4f56f | a0EeBiOGvuvoPk39cGbi8qHk9W8 | 98.112.25.84    |              48 |
| PPTOR0041           | c37bba560fc6574ba977bf506bb9b5d2c4cdf0f4 | w3u6Vg/GV0upd79Qa7m10sTN8PQ | 176.10.115.98   |              48 |
| jonsiii             | 9906c14e2790689c22c1a947f80f328dbb993c25 | mQbBTieQaJwiwalH+A8yjbuZPCU | 87.104.55.203   |              48 |
| PioTT               | 2ae9707ee6b1b443f9da34751a2ffaa6530fe571 | KulwfuaxtEP52jR1Gi/6plMP5XE | 91.67.24.102    |              48 |
| onionnetwork2       | b455825450b123a809e5c5146ec7114cf105fd27 | tFWCVFCxI6gJ5cUUbscRTPEF/Sc | 88.198.198.87   |              48 |
| ArachnideFR1        | 745409eaf8f951d3f2b5e128c2c616310f56675d | dFQJ6vj5UdPyteEowsYWMQ9WZ10 | 95.130.9.89     |              48 |
| rkoa                | 39291ba0785e4d0b234dc99fc6640530271f6dd7 | OSkboHheTQsjTcmfxmQFMCcfbdc | 70.164.67.66    |              48 |
| willow              | 3df48051facdb91d3edaa70902eecc2da9544de9 | PfSAUfrNuR0+2qcJAu7MLalUTek | 206.125.172.107 |              48 |
| TorLand2            | 332895d092c2524a3cde8f6e1498ffe665ebfc34 | MyiV0JLCUko83o9uFJj/5mXr/DQ | 37.130.227.134  |              48 |
| WhatMeWorry         | eab580461d86127f41b634781e967937ff831171 | 6rWARh2GEn9BtjR4HpZ5N/+DEXE | 108.181.11.76   |              48 |
| bob                 | 947f9b34acb6963c366ea42e04e14d37d8632129 | lH+bNKy2ljw2bqQuBOFNN9hjISk | 80.101.75.154   |              48 |
| aaaaaaalias         | 894eef1ec2e1fc4ca70cb8b4a098a8e7a76fabf1 | iU7vHsLh/EynDLi0oJio56dvq/E | 78.94.75.241    |              48 |
| TtnRelayAlx         | 69d5044b8e478a91b44808b24af2a9583890431f | adUES45HipG0SAiySvKpWDiQQx8 | 91.224.149.45   |              48 |
