
From 1/1/2014 - 01/03/2015 <-- no one knows exact time it was released, some say in 2013, set it 2014 to be sure

SELECT nick, fingerprint, identity, ip, count(identity) FROM agorahooawayyfoe GROUP BY nick ORDER BY count(identity) DESC;



+---------------------+------------------------------------------+-----------------------------+-----------------+-----------------+
| nick                | fingerprint                              | identity                    | ip              | count(identity) |
| Unnamed111          | 593c476c690a2a0690e827a8750e0a90447f52ad | WTxHbGkKKgaQ6CeodQ4KkER/Uq0 | 188.242.183.229 |              24 |
| Wov                 | f5d87b307b4f1f5d5c168bbc937d24c2c06150b9 | 9dh7MHtPH11cFou8k30kwsBhULk | 109.160.246.42  |              24 |
| rjcjqpfzw           | b844db11c5051a34fb78fa07dd4855d557e0f5e6 | uETbEcUFGjT7ePoH3UhV1Vfg9eY | 193.150.120.101 |              24 |
| Matrix              | e1cc505a7ef86ac95c090b2e1059fe9d2b3ff985 | 4cxQWn74aslcCQsuEFn+nSs/+YU | 184.61.123.239  |              24 |
| miaou               | ae120ad740017769a7f5db59457b20e9769dc656 | rhIK10ABd2mn9dtZRXsg6XadxlY | 83.197.231.104  |              24 |
| hardy               | 665d9ef8a274547208189531a534af2249e9d360 | Zl2e+KJ0VHIIGJUxpTSvIknp02A | 38.229.70.42    |              24 |
| hivemind            | 585b48d40906096237a2c0385fc1f425dd617ea0 | WFtI1AkGCWI3osA4X8H0Jd1hfqA | 62.75.207.66    |              24 |
| satoshitor2         | 93358a1981ea1bb24707d910f59de1ddc011406c | kzWKGYHqG7JHB9kQ9Z3h3cARQGw | 179.60.219.54   |              24 |
| ffx                 | 8c4d469defa78e0aae8632f9faaedbfa959e1315 | jE1Gne+njgquhjL5+q7b+pWeExU | 108.28.80.98    |              24 |
| CzechMix            | 5097cb04c09c0a26e27e86217983c0a374676550 | UJfLBMCcCibifoYheYPAo3RnZVA | 50.7.210.218    |              24 |
| DarkVador15         | ebfff9eec88a5526724def7568d32f73a5c0d89d | 6//57siKVSZyTe91aNMvc6XA2J0 | 69.64.34.85     |              24 |
| AnonimFighter       | f716d875c6066dc267c881287cff819cfed45a59 | 9xbYdcYGbcJnyIEofP+BnP7UWlk | 46.8.16.61      |              24 |
| Eureka              | afcdcfe302e547d10fbd7e2fa707e6c12c6a934b | r83P4wLlR9EPvX4vpwfmwSxqk0s | 209.159.142.235 |              24 |
| PPTOR0021           | 303dd6b1dc9728356b188fa111ef01d3b2947367 | MD3WsdyXKDVrGI+hEe8B07KUc2c | 5.149.250.53    |              24 |
| TransMiNn27         | 182d725477529510d1118c8cc502b06cb0137af8 | GC1yVHdSlRDREYyMxQKwbLATevg | 185.8.238.22    |              24 |
| IOnlyComeOutAllDay  | 881c0333d4854e46f4bb66a9174fe5df7feb3815 | iBwDM9SFTkb0u2apF0/l33/rOBU | 5.9.74.230      |              24 |
| Marishka            | 8d381a681875c715407fa69167cec4575001cbe6 | jTgaaBh1xxVAf6aRZ87EV1ABy+Y | 37.145.27.3     |              24 |
| Pagkaki             | 7d693c2a9c3b0b2d69f473af1c0e1cbe05ead412 | fWk8Kpw7Cy1p9HOvHA4cvgXq1BI | 83.212.96.183   |              24 |
| TrondheimTor318     | f2ca1cfe413e282f11df652bd0ce37eeb19fbbd8 | 8soc/kE+KC8R32Ur0M437rGfu9g | 109.189.13.204  |              24 |
| cativanet           | 08fdb7826e03b95417c76c3a101f1c1e12a6eaae | CP23gm4DuVQXx2w6EB8cHhKm6q4 | 85.214.250.188  |              24 |
| nifty1              | 23793a507ad33185e01202db605f12b572433a51 | I3k6UHrTMYXgEgLbYF8StXJDOlE | 185.61.148.228  |              24 |
| flyingHacktivistCat | fa8d3b3037e87f748b3136c50a80286e9001c9a7 | +o07MDfof3SLMTbFCoAobpAByac | 5.135.163.182   |              24 |
| relayroar           | 52e927a62e186828a746414e5d5e1b307cd5b93d | Uuknpi4YaCinRkFOXV4bMHzVuT0 | 195.159.162.194 |              24 |
| corecloudrelay      | 092000e06f35f2acf2d00cacf0ed3e385cef52bf | CSAA4G818qzy0Ays8O0+OFzvUr8 | 173.255.143.238 |              24 |
| lqdn                | d71b1ca1c9dc7e8ca64158e106ad770a21160fee | 1xscocncfoymQVjhBq13CiEWD+4 | 185.34.33.2     |              24 |
| mighty11            | 39d5e1c86dc1d9757471a12365c18fa76869ec62 | OdXhyG3B2XV0caEjZcGPp2hp7GI | 81.150.197.170  |              24 |
| nc23argon           | 4e61e238435c09d887e3c5b5f5fb5c2714188a3b | TmHiOENcCdiH48W19ftcJxQYijs | 107.178.112.116 |              24 |
| Zwiebelschale1      | 5aa5755c98f9d2d8e07c2582fe38c1e785aedc63 | WqV1XJj50tjgfCWC/jjB54Wu3GM | 95.91.73.158    |              24 |
| ndnr1               | 32ee911d968be3e016eca572bb1ed0a9ee43fc2f | Mu6RHZaL4+AW7KVyux7Qqe5D/C8 | 109.105.109.162 |              24 |
| cocaine             | cb99bb067e967699edf9e3234ebb22e9c2dffa5f | y5m7Bn6Wdpnt+eMjTrsi6cLf+l8 | 5.149.250.35    |              24 |
| Asterix02           | 63a71e0ca9d28b467a419b4a942876cf90918752 | Y6ceDKnSi0Z6QZtKlCh2z5CRh1I | 144.76.15.182   |              24 |
| path                | bd9b0752bc609cbc4032898df1e369988c1847dd | vZsHUrxgnLxAMomN8eNpmIwYR90 | 74.118.90.155   |              24 |
| fuhell              | 1284f41aa3f5d14647811cc93fc5aa2e01766141 | EoT0GqP10UZHgRzJP8WqLgF2YUE | 207.192.71.70   |              24 |
| animalz             | 4ae3ab00b3b9d7aa6049da0d78af9d72c97a358d | SuOrALO516pgSdoNeK+dcsl6NY0 | 85.5.196.163    |              24 |
| PrivacyIsTyranny    | 6d098ca385a978196392b745d702bb3f1c7a9627 | bQmMo4WpeBljkrdF1wK7Pxx6lic | 145.116.27.98   |              24 |
| SocietyServerGrey   | 9ef2a52e2edb00e7d3512b2cb051b68e5054ffbf | nvKlLi7bAOfTUSsssFG2jlBU/78 | 85.25.9.11      |              24 |
| FastTorNL           | d43b9faec7e656ebbb73dcd3b118f5cda700cfe7 | 1DufrsfmVuu7c9zTsRj1zacAz+c | 153.90.6.12     |              24 |
| emma                | 264503ddb6770a189d73de327ba34c812aa1d009 | JkUD3bZ3Chidc94ye6NMgSqh0Ak | 71.246.241.109  |              24 |
| ananke              | 94cf3bdd7eb3634aa988de4b14336c2a43ed7567 | lM873X6zY0qpiN5LFDNsKkPtdWc | 94.23.42.179    |              24 |
| vtcsec              | 6ea1f229a1d7eceaaaaa83daaaf104f5d6d50a43 | bqHyKaHX7OqqqoPaqvEE9dbVCkM | 128.173.55.11   |              24 |
| Himinbjorg          | 75d4ae75bf23e114ba5f07a2139d5a1fca85d2c9 | ddSudb8j4RS6XweiE51aH8qF0sk | 176.58.106.89   |              24 |
| goodvikings         | 4776a21eeaa6f2c87a1491333bff2900f2121e0a | R3aiHuqm8sh6FJEzO/8pAPISHgo | 198.12.80.187   |              24 |
| KLInode             | 63f42a670ed42427858363c51093ec6ff8a8aaaa | Y/QqZw7UJCeFg2PFEJPsb/ioqqo | 188.165.193.94  |              24 |
| 00xy0UunL4aJHzFLgZV | 80650aa57996d1e073345432c65e02a3f4ea583d | gGUKpXmW0eBzNFQyxl4Co/TqWD0 | 74.80.149.18    |              24 |
| jihyo               | 5be47c010ed7b4ac268710bee18f24c51a0cdd80 | W+R8AQ7XtKwmhxC+4Y8kxRoM3YA | 73.11.218.72    |              24 |
| domob               | 729ee24643806fa8fe248ab6494b4cc0f6e6501b | cp7iRkOAb6j+JIq2SUtMwPbmUBs | 198.50.154.23   |              24 |
| morales             | ee91648eb20143d9df8ec157da5239d1d2a86fa9 | 7pFkjrIBQ9nfjsFX2lI50dKob6k | 74.120.12.140   |              24 |
| BRExitNode          | 57cd79b3e5936d0f547eb24cec352a767a4d2b56 | V815s+WTbQ9UfrJM7DUqdnpNK1Y | 179.111.152.249 |              24 |
| megabutt            | 46920b38dcb58c6b11deecffb5833e792705bce4 | RpILONy1jGsR3uz/tYM+eScFvOQ | 207.239.108.250 |              24 |
| halftrelay          | 504ea0a1fac5453aa1252a868942ab51ff7a5e66 | UE6gofrFRTqhJSqGiUKrUf96XmY | 92.63.174.70    |              24 |
| SeriouslyFuckMyISP  | 2cc499d31ed7dbacdf6eac516f543d8d3462fe0c | LMSZ0x7X26zfbqxRb1Q9jTRi/gw | 91.145.118.53   |              24 |
| CgAn                | f6007a93ddf6b64a435d704f05d3a282d74da39e | 9gB6k932tkpDXXBPBdOigtdNo54 | 5.9.108.74      |              24 |
| partyvan4           | 7c451f1bdf24ae51f0cd75dab2ff11504ce0c8f1 | fEUfG98krlHwzXXasv8RUEzgyPE | 81.4.107.227    |              24 |
| appello             | 8f1c5f58ba726b171e4533e04c56966ffc31aba9 | jxxfWLpyaxceRTPgTFaWb/wxq6k | 106.186.28.47   |              24 |
| torentrynodeffm     | b87896b043a2bb2aca1dd38b48f77251cb7d861f | uHiWsEOiuyrKHdOLSPdyUct9hh8 | 141.2.86.34     |              24 |
| icebeerFRTorSix     | 82437d7eccb5313952f181b34b3e40a7d7532e43 | gkN9fsy1MTlS8YGzSz5Ap9dTLkM | 212.83.151.18   |              24 |
| Leibi               | e0e45dc66efb281eabac9459b5b47ed951186f6c | 4ORdxm77KB6rrJRZtbR+2VEYb2w | 5.42.138.247    |              24 |
| greendale           | b6d30cec9f8fab676ccd0634dc86412f1ba8f4d2 | ttMM7J+Pq2dszQY03IZBLxuo9NI | 95.211.225.167  |              24 |
| hydrargirum24       | 942e5a0258c8ad9db992e50dc24225893b6fec0f | lC5aAljIrZ25kuUNwkIliTtv7A8 | 94.23.78.91     |              24 |
| GoldDragon          | 8b9ad4d3055e9f9a5a027bd98f61583e673ff84b | i5rU0wVen5paAnvZj2FYPmc/+Es | 38.229.70.54    |              24 |
| PPTOR0009           | 8b01486df40be065d0fa2667c39e3912b4fe36db | iwFIbfQL4GXQ+iZnw545ErT+Nts | 95.211.99.91    |              24 |
| tn2it0wn            | daf88249d1f346eccf20a0ccc2ef8bc45badcd67 | 2viCSdHzRuzPIKDMwu+LxFutzWc | 95.110.187.125  |              24 |
| KiwiFlyer           | 800603f79398ef9533b037a021f8c5e0258c2bb1 | gAYD95OY75UzsDegIfjF4CWMK7E | 122.61.183.24   |              24 |
| TeamEdward          | 9f34df3616fab773db1e0a91a62c9c3a2680b4fc | nzTfNhb6t3PbHgqRpiycOiaAtPw | 78.46.218.11    |              24 |
| GreyHole            | f7fe5c64c3f12743e0176595286b4f4c4539651c | 9/5cZMPxJ0PgF2WVKGtPTEU5ZRw | 67.182.122.116  |              24 |
| peeler              | 19e471ab09cc4bc54ff89f841e59d60f886078b9 | GeRxqwnMS8VP+J+EHlnWD4hgeLk | 185.38.47.224   |              24 |
| treadlightly2       | 14ab828246583985330de111b274ac2e2866f268 | FKuCgkZYOYUzDeERsnSsLihm8mg | 76.103.100.27   |              24 |
| Zwonkie             | de226d48e4f94c77ceca22ca54750321782cb182 | 3iJtSOT5THfOyiLKVHUDIXgssYI | 89.150.138.210  |              24 |
| Majortom            | 99d651b41a479431caa5f7503886751316fa38a5 | mdZRtBpHlDHKpfdQOIZ1Exb6OKU | 119.9.74.98     |              24 |
| open4medetorrelay   | a063ca7a86a67e71bf645be095aa79bf44a8603c | oGPKeoamfnG/ZFvglap5v0SoYDw | 5.199.142.124   |              24 |
| totallyunique2      | 6def758c59f479f89d5ea47ce635ba00b26b02b3 | be91jFn0efidXqR85jW6ALJrArM | 173.70.221.113  |              24 |
| JasonLeeH           | 1dc68a10619f796e5607176cb8d04e1eb9498cae | HcaKEGGfeW5WBxdsuNBOHrlJjK4 | 68.225.118.51   |              24 |
| vepsWwxNjaIG        | 74a376df7a6b1a69f6f9981816b3c17a4e046b73 | dKN233prGmn2+ZgYFrPBek4Ea3M | 193.19.119.210  |              24 |
| Avalon              | 4582de20a1f9e942a8fa524266a01fe85383cb32 | RYLeIKH56UKo+lJCZqAf6FODyzI | 132.230.150.81  |              24 |
| hgruber             | d4eb6d74359cf8e72dd191895d09d2474a87b679 | 1OttdDWc+Oct0ZGJXQnSR0qHtnk | 99.228.55.112   |              24 |
| timgce1             | feace91a365e270483ceb7109f0423efc772ebfa | /qzpGjZeJwSDzrcQnwQj78dy6/o | 107.178.222.113 |              24 |
| 910ebrae            | 256045b6dfb0e1150b5727081d13aa3c427cea9a | JWBFtt+w4RULVycIHROqPEJ86po | 174.126.98.29   |              24 |
| portnode6           | 2ef9841950269ff2d92ad719f2bcea51ffbf6faf | LvmEGVAmn/LZKtcZ8rzqUf+/b68 | 31.172.250.155  |              24 |
| veggistorpi         | aa279929ec9a18b1dda6c1bde007851990eeda0f | qieZKeyaGLHdpsG94AeFGZDu2g8 | 80.202.39.253   |              24 |
| bhikkhu             | 6630366d1cc16fe51d0d5650d9b832e1b4c46b3f | ZjA2bRzBb+UdDVZQ2bgy4bTEaz8 | 104.131.46.101  |              24 |
| tingy               | 0d9e6ce91f0868e858653b003e285323bf2100fe | DZ5s6R8IaOhYZTsAPihTI78hAP4 | 155.98.37.138   |              24 |
| nwforpsicloud       | 96fe726d82d39115da31489c1fba92230fb8628b | lv5ybYLTkRXaMUicH7qSIw+4Yos | 81.2.236.165    |              24 |
| KorTORXif           | 714a121f5a78fc1c13fd04d1fe8003089134ce29 | cUoSH1p4/BwT/QTR/oADCJE0zik | 94.141.172.240  |              24 |
| Prediction          | 7acaa8a403c76575f6d02de4ae82f17e011e0098 | esqopAPHZXX20C3kroLxfgEeAJg | 76.115.52.192   |              24 |
| Leverage            | 2f2d12ffe03f395a2f666fa591920e3efebbf416 | Ly0S/+A/OVovZm+lkZIOPv679BY | 85.25.203.42    |              24 |
| tlittle             | 58b3c223ed37f365c9e58b8e43e81afe5c7a7e84 | WLPCI+0382XJ5YuOQ+ga/lx6foQ | 109.106.136.195 |              24 |
| justafoo            | 4cd194c9d144310520e01a8da5e4a11050eecaf8 | TNGUydFEMQUg4BqNpeShEFDuyvg | 80.237.208.100  |              24 |
| Avantgarde          | 2fbf5145f52c0863b928718b6d44120c6c8638cd | L79RRfUsCGO5KHGLbUQSDGyGOM0 | 92.107.192.102  |              24 |
| DeepHunter          | 8c8899188d7c56fe2fb4b4cd9e7b037a71679de5 | jIiZGI18Vv4vtLTNnnsDenFnneU | 84.118.130.145  |              24 |
| afo21               | 292acde4cde9f36afb8e4c9886aa5a7d20330bc5 | KSrN5M3p82r7jkyYhqpafSAzC8U | 62.210.129.149  |              24 |
| Dummy               | 3c25f1c9e12009a4326f1d2aa1102aa913c056a8 | PCXxyeEgCaQybx0qoRAqqRPAVqg | 46.165.222.168  |              24 |
| hiddentorrelay      | f07e0a87851efe1e3d68d1380e56fd2922794d1e | 8H4Kh4Ue/h49aNE4Dlb9KSJ5TR4 | 64.53.192.16    |              24 |
| PrivacyMatters      | 816e360704e5847fea89668b3bd625149fba12dd | gW42BwTlhH/qiWaLO9YlFJ+6Et0 | 95.211.55.195   |              24 |
| Koumbitor           | 760efa58f7277a86ba63bc7071dfd6ce3a079edf | dg76WPcneoa6Y7xwcd/WzjoHnt8 | 199.58.83.10    |              24 |
| PPTOR0011           | 3507e19b52b0e6085f09ce25f9464743c5ae6541 | NQfhm1Kw5ghfCc4l+UZHQ8WuZUE | 213.239.217.228 |              24 |
| bbbrelay2           | 202a7c58520956a238ec5d81997d938eac445d88 | ICp8WFIJVqI47F2BmX2TjqxEXYg | 174.109.251.88  |              24 |
| BlankReg            | a77d8e5cb25a1bf046c053b02b4b9943dae21f2b | p32OXLJaG/BGwFOwK0uZQ9riHys | 81.17.30.48     |              24 |
| fdst4eta4t          | 17c2925032dc66d8cee24b78e4e82a0e02c1c257 | F8KSUDLcZtjO4kt45OgqDgLBwlc | 46.0.67.233     |              24 |
| MuhFreedomsAzza8    | f823458477a43c37362cf7e259f083db38362be7 | +CNFhHekPDc2LPfiWfCD2zg2K+c | 192.3.18.63     |              24 |
| servbr2             | 5abe7042a3e556498be746ff9c708e307bb41c34 | Wr5wQqPlVkmL50b/nHCOMHu0HDQ | 212.83.153.200  |              24 |
| MelissabethianNode  | 8a8e80508e777bbe056ca0ca5b211a4e8c300c7d | io6AUI53e74FbKDKWyEaTowwDH0 | 104.131.56.127  |              24 |
| bauruine1           | e8a81765c3d7e243c6acb8176b368931358a4929 | 6KgXZcPX4kPGrLgXazaJMTWKSSk | 217.150.229.226 |              24 |
| winkietor           | 34d3ec468a04d8921c44bdb96926ca6dc8b5ec05 | NNPsRooE2JIcRL25aSbKbci17AU | 212.83.187.218  |              24 |
| falcongate          | 9be67f8be1b248994a30e4deeb3ea00ccfbe9f06 | m+Z/i+GySJlKMOTe6z6gDM++nwY | 78.43.32.25     |              24 |
| Mikrobi             | eec2e668880c7b3af7d90e36fdf2cda69a7ee705 | 7sLmaIgMezr32Q42/fLNppp+5wU | 77.237.94.162   |              24 |
| assk                | 8543536f43e4dfd33bfe89204c315515d4de8b01 | hUNTb0Pk39M7/okgTDFVFdTeiwE | 78.108.63.46    |              24 |
| torgwthem           | b410f629afba3e5cde22c399bc58cdd745fec721 | tBD2Ka+6PlzeIsOZvFjN10X+xyE | 212.17.102.77   |              24 |
| freetheether        | 8a3a0be95d00b2fe2b444c03a03ca1b76330b2c7 | ijoL6V0Asv4rREwDoDyht2Mwssc | 176.198.206.111 |              24 |
| tactmaster          | c1af2c6e140fd67934af8272cffc28bd24fab96e | wa8sbhQP1nk0r4Jyz/wovST6uW4 | 151.229.32.186  |              24 |
| NottsRemote         | d9659ca1031ead4ee3ba29a367f433c6d86459b6 | 2WWcoQMerU7juimjZ/QzxthkWbY | 92.236.128.150  |              24 |
| TommysTorServer     | 31581d2b4f458efdee584fecb05a9d3002509e1f | MVgdK09Fjv3uWE/ssFqdMAJQnh8 | 89.163.171.250  |              24 |
| anemia              | 6aeea2192538bba914440ccde3ca4db0637b0a17 | au6iGSU4u6kURAzN48pNsGN7Chc | 83.212.120.215  |              24 |
| Kabo                | 5fba2b8f30dd6dd1fd1cf2fcccc319a97e9ea836 | X7orjzDdbdH9HPL8zMMZqX6eqDY | 81.227.232.73   |              24 |
| Vinifera            | 64a377f9a5aae99219c7e9e7317ba9847482cd43 | ZKN3+aWq6ZIZx+nnMXuphHSCzUM | 96.227.217.111  |              24 |
| fuzzylogic          | 85f58489b4df177b65130b3674022b4d472a2ea8 | hfWEibTfF3tlEws2dAIrTUcqLqg | 173.48.45.20    |              24 |
| Gattaca             | ad8241fd80d4e497e0f9c5f0586d1ad78d0dd9d3 | rYJB/YDU5Jfg+cXwWG0a140N2dM | 94.79.164.214   |              24 |
| tingw               | 9b272968fc38f8c9984a0e68a860a38b46073e17 | mycpaPw4+MmYSg5oqGCji0YHPhc | 155.98.39.89    |              24 |
| sally               | 5d8122ca5a3b642d8e27c0c7ce947ed4271e987b | XYEiylo7ZC2OJ8DHzpR+1CcemHs | 68.194.45.253   |              24 |
| CatchyNameHere      | 516d227c7be85518fbfc669ccb44476f0994d728 | UW0ifHvoVRj7/Gacy0RHbwmU1yg | 104.131.15.19   |              24 |
| puppet2             | 7f7bd6600786267fa31693c071d31e80bee5b216 | f3vWYAeGJn+jFpPAcdMegL7lshY | 37.139.2.107    |              24 |
| anarchy             | 4e1464b5d5701066f4422ffb1780cf7448e2daae | ThRktdVwEGb0Qi/7F4DPdEji2q4 | 69.59.152.157   |              24 |
| nuc                 | 60baedd581191a7411bd7090e308f42ec6867ed3 | YLrt1YEZGnQRvXCQ4wj0LsaGftM | 5.172.133.235   |              24 |
| HCandersen          | e1859332adf8d777e62eddbd2eb641d03921b36d | 4YWTMq3413fmLt29LrZB0Dkhs20 | 46.105.187.220  |              24 |
| ZION23              | 3d1b0704be06aca70233a143f65e0eac14f6a0fd | PRsHBL4GrKcCM6FD9l4OrBT2oP0 | 175.158.136.18  |              24 |
| torberry            | fbf8daef015785ce443c75a1dd10fcaeec58b505 | +/ja7wFXhc5EPHWh3RD8ruxYtQU | 88.113.38.175   |              24 |
| FuyuhikoDate        | 657eac5cb1a27b34acf882760dae0cce17e5a946 | ZX6sXLGiezSs+IJ2Da4MzhflqUY | 37.120.106.253  |              24 |
| Death1000           | b637b4641fb20324a364001f2035a316b5918d9a | tje0ZB+yAySjZAAfIDWjFrWRjZo | 85.229.195.220  |              24 |
| mcsserver           | f7633efd5de6c2212c084c9abd0209724b8577b4 | 92M+/V3mwiEsCEyavQIJckuFd7Q | 148.251.77.100  |              24 |
| poiuty4             | c81d841e6b3eb2aee82825c9d2b062fcd2c728a9 | yB2EHms+sq7oKCXJ0rBi/NLHKKk | 5.9.51.174      |              24 |
| DevullhostFR        | ea1450e25942cc43c3680ad388eeedb30d102fe6 | 6hRQ4llCzEPDaArTiO7tsw0QL+Y | 5.39.91.96      |              24 |
| spfTOR4e3           | 9d635828e7da9a6b298b36009a6e15bc1dc563ce | nWNYKOfammspizYAmm4VvB3FY84 | 77.109.138.44   |              24 |
| MuhFreedomsGreenH   | 865aa429f5ecbff46ec3d3ea50b6104cd9af2464 | hlqkKfXsv/Ruw9PqULYQTNmvJGQ | 192.3.202.228   |              24 |
| MuhFreedomsAzza4    | aae0ade73935ea8f4d95656d9552aaeb9e2c1379 | quCt5zk16o9NlWVtlVKq654sE3k | 192.3.18.11     |              24 |
| vack8dwfKlIfnvT7    | 42f752c0919357cd19b1b36865657072376960cb | QvdSwJGTV80ZsbNoZWVwcjdpYMs | 81.89.0.203     |              24 |
| d000h               | 8381124fa56cea1392aaa3ab31b6db0d7c83237e | g4EST6Vs6hOSqqOrMbbbDXyDI34 | 185.27.174.204  |              24 |
| Lemonion            | 6bd2ff175484cd7925a81dc42d89b3953252dbad | a9L/F1SEzXklqB3ELYmzlTJS260 | 86.59.70.22     |              24 |
| apexio20            | 4a9482ee2c1e4537a199af39bcb6b2d8d222ad26 | SpSC7iweRTehma85vLay2NIirSY | 162.218.68.150  |              24 |
| funnybones          | a2967e52a3318419a56da24ab480641c47163179 | opZ+UqMxhBmlbaJKtIBkHEcWMXk | 95.215.45.220   |              24 |
| HoochTHX            | a95d4d8288e96baa3686139c8632997076277223 | qV1Ngojpa6o2hhOchjKZcHYnciM | 173.230.129.163 |              24 |
| mynick              | 04748852c047b37013ebb594161f7520db527003 | BHSIUsBHs3AT67WUFh91INtScAM | 5.251.97.246    |              24 |
| exitleroy           | 21dc554b479b3b9c96021663e259547ef90eb12d | IdxVS0ebO5yWAhZj4llUfvkOsS0 | 89.248.171.29   |              24 |
| tor31337relay       | 7079bfddf3eff1ba0f155ac3f723b113f903e6b8 | cHm/3fPv8boPFVrD9yOxE/kD5rg | 37.194.32.214   |              24 |
| garammasala         | 4993a1e187e9f41bb4e14a78ce0ead192130acf7 | SZOh4Yfp9Bu04Up4zg6tGSEwrPc | 91.65.216.54    |              24 |
| DSTOR               | c780a8b14d7a1a06c80bc2ffb62af5b4ea85ab3a | x4CosU16GgbIC8L/tir1tOqFqzo | 50.137.53.168   |              24 |
| vladv               | 5af64827001a8e3ed930fef570e92ca6407b1605 | WvZIJwAajj7ZMP71cOkspkB7FgU | 178.140.197.75  |              24 |
| sectorplus          | a41c39155488072b046708e9721666e97deb900c | pBw5FVSIBysEZwjpchZm6X3rkAw | 92.63.88.47     |              24 |
| Chandler01          | 5e30f4a3734226880c69e9406ac59893096ffdc4 | XjD0o3NCJogMaelAasWYkwlv/cQ | 37.148.163.38   |              24 |
| PasToutAFaitNet01   | 87a60d711f7d3496a923895d50f5e60483293f78 | h6YNcR99NJapI4ldUPXmBIMpP3g | 91.229.20.20    |              24 |
| Yaoi                | 30f0e7ef35c26d8f7093740790471ce7f6c668b2 | MPDn7zXCbY9wk3QHkEcc5/bGaLI | 207.12.89.169   |              24 |
| NjJmZTBlODA0Z       | 20f70c68b04b212ba60eb7d3d25d274f224ee44a | IPcMaLBLISumDrfT0l0nTyJO5Eo | 64.120.188.43   |              24 |
| Mufasa              | 1affe51df9b2f5c9418d8bd8f939084aec8532ed | Gv/lHfmy9clBjYvY+TkISuyFMu0 | 81.7.13.178     |              24 |
| PastaSauce          | 396fb4ad7d7e8dfe8fbc7e5d31088aa113dcb36b | OW+0rX1+jf6PvH5dMQiKoRPcs2s | 94.198.98.194   |              24 |
| pelycosaur          | ea1e4711a47f354aa60eff429a7c4eb4a802a027 | 6h5HEaR/NUqmDv9CmnxOtKgCoCc | 50.43.12.137    |              24 |
| jimbrain            | 669fcd8a64ed6afdbd7c2eb0f2568d9405496f11 | Zp/NimTtav29fC6w8laNlAVJbxE | 83.212.111.19   |              24 |
| UrbanRelayLE        | 85b6ff707373a1daa9cfc2d6659b6ed93d59df3e | hbb/cHNzodqpz8LWZZtu2T1Z3z4 | 108.31.40.5     |              24 |
| Bazinga             | 196832c61f30e9d6d179393c9aed4e47fd29796b | GWgyxh8w6dbReTk8mu1OR/0peWs | 93.180.157.154  |              24 |
| taviscaron          | abfac9496407820649b16e5bb8e0fbce5bcadd42 | q/rJSWQHggZJsW5buOD7zlvK3UI | 77.37.152.100   |              24 |
| transporter         | 891ecd1d50ce1cd4c5ead392ae32e349213c315b | iR7NHVDOHNTF6tOSrjLjSSE8MVs | 66.228.44.204   |              24 |
| Bammerman           | e8e9146bb5edc52a55d128b00eaa2c636d33cc03 | 6OkUa7XtxSpV0SiwDqosY20zzAM | 178.85.171.77   |              24 |
| quorra              | ed81cf483f1adbe11e776415dea9f682a4718d08 | 7YHPSD8a2+Eed2QV3qn2gqRxjQg | 198.50.145.236  |              24 |
| relay8964830        | be2a0376d385485faebb61c85b29aaa6883e06e6 | vioDdtOFSF+uu2HIWymqpog+BuY | 188.226.200.216 |              24 |
| joustxyz            | 877f9a8a741fce0587877da8b5672c5252197728 | h3+ainQfzgWHh32otWcsUlIZdyg | 77.37.244.122   |              24 |
| gruik               | af93be3dd1268fd3d293ecc9d92dd5aeded8be40 | r5O+PdEmj9PSk+zJ2S3Vrt7YvkA | 90.42.67.182    |              24 |
| TorHelper5          | 509f2a7eb7168961d885e23b6a7404a97dcc5818 | UJ8qfrcWiWHYheI7anQEqX3MWBg | 198.199.71.49   |              24 |
| Zwiebelschale0      | c779e2f6aa50e0d5a82d580b191cba6213d6bf11 | x3ni9qpQ4NWoLVgLGRy6YhPWvxE | 37.187.4.8      |              24 |
| spdt                | 61772dc4500dd3f36417574f01acbb4c5fc8534b | YXctxFAN0/NkF1dPAay7TF/IU0s | 47.55.110.224   |              24 |
| Choan               | 711d7b956da202e53fe7b162b4f475fd70d6243d | cR17lW2iAuU/57FitPR1/XDWJD0 | 217.209.15.165  |              24 |
| PPTOR0003           | 288a33876a0b0ee9e6af5a18d9b3638d8a2b63b2 | KIozh2oLDunmr1oY2bNjjYorY7I | 31.204.153.49   |              24 |
| rostelecom          | 8b5be3a2f92a7cc72b2ba29d746cbc9775bdf4c2 | i1vjovkqfMcrK6KddGy8l3W99MI | 54.93.170.245   |              24 |
| BigBoy              | 9f89491cab7b03685deabd358e193ffa74d8d836 | n4lJHKt7A2hd6r01jhk/+nTY2DY | 38.229.79.2     |              24 |
| minstl              | 8d5810f2c6596375e0791f5f2958052c650417f6 | jVgQ8sZZY3XgeR9fKVgFLGUEF/Y | 151.236.24.103  |              24 |
| ToRiX               | faea6ade36449a7f5c0dedef338b0fa640cbe29c | +upq3jZEmn9cDe3vM4sPpkDL4pw | 195.154.8.224   |              24 |
| TXRWBragi           | 78572c7b2154b7c9aa31a424182fc12a8c5e03e3 | eFcseyFUt8mqMaQkGC/BKoxeA+M | 193.234.225.140 |              24 |
| PanchoVilla         | 2db97825c60ffec63ceb502d981220831567c1d7 | Lbl4JcYP/sY861AtmBIggxVnwdc | 66.191.249.71   |              24 |
